"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"lndp[3,9,1]",3.47799324502461,0.0855111786446611,3.30285764328052,3.48238602165136,3.63296313323017,1,1374
"lndp[3,9,2]",0.338077918179219,0.09285505208754,0.159605026594864,0.340115309892111,0.515315172292972,1,926
"lndp[3,10,1]",3.11349004302614,0.0936903163342775,2.92109039393312,3.11907151038543,3.28863824741509,1,5318
"lndp[3,10,2]",0.162872335451364,0.0741733685705513,0.0159633280154154,0.164475125355118,0.307641060677471,1,4557
"lndp[3,11,1]",3.8871842751207,0.0610315854440069,3.76583920346002,3.89031290265646,3.99745649815232,1,1400
"lndp[3,11,2]",0.867788529341112,0.110281982594911,0.65721888798758,0.868875888589886,1.08067278174478,1,953
"lndp[4,1,1]",3.52682287710308,0.0970512092403274,3.32772497559195,3.53118795321234,3.69900516406695,1,1734
"lndp[4,1,2]",0.365296841800352,0.119800817967198,0.123706966313657,0.3642401969325,0.595108571424558,1,2739
"lndp[4,2,1]",3.84797970369235,0.0706481891178882,3.69969009262917,3.85061869750916,3.97860042651455,1,2762
"lndp[4,2,2]",0.5881230842123,0.0998222058155475,0.390923106229839,0.587579828241581,0.781804715568834,1,2861
"lndp[4,3,1]",4.30249420631949,0.0566943982941827,4.18611946009282,4.30390917144148,4.41024767236589,1,4946
"lndp[4,3,2]",0.727767881576414,0.0973244945291849,0.536803844751161,0.724973213407051,0.918831433342926,1,4418
"lndp[4,4,1]",4.4290174921357,0.0527823923907893,4.32009430999372,4.43132248203098,4.52675583471163,1,2334
"lndp[4,4,2]",0.995856932038099,0.111981446176778,0.772214206214375,0.997024443511376,1.21357138395153,1,2190
"lndp[4,5,1]",4.35082468274209,0.0549751856316153,4.23479259071607,4.35384596789755,4.4515747148785,1,5079
"lndp[4,5,2]",0.640459806533004,0.0715751961289074,0.493077393218736,0.641288055570791,0.778280599809085,1,3847
"lndp[4,6,1]",4.34853630032437,0.0614842466325767,4.21880507613456,4.34905074555443,4.46525687892448,1,3641
"lndp[4,6,2]",0.537308735951108,0.0802411285752394,0.3771621273319,0.536214356704852,0.696451004235748,1,4888
"lndp[4,7,1]",4.08320252835345,0.0563123646877038,3.96581831695251,4.08544274841969,4.18433520440881,1,1535
"lndp[4,7,2]",0.658093636119189,0.0702039270851142,0.51947692885265,0.659076496645506,0.792678522195246,1,2546
"lndp[4,8,1]",4.33988814397111,0.0428978488505737,4.25120615399853,4.34186817741188,4.41887447281906,1,3767
"lndp[4,8,2]",1.15182794743546,0.102979180882378,0.950500903700945,1.15276344061097,1.34945425157096,1,1783
"lndp[4,9,1]",4.36863125174396,0.0486288160207885,4.2698983144141,4.36970734052362,4.45858761056729,1,2656
"lndp[4,9,2]",0.929989598337058,0.0918149423210998,0.750774424022442,0.930272882848432,1.11006884044911,1,2749
"lndp[4,10,1]",3.78138763353309,0.0717977768229553,3.63200296232803,3.78562702874268,3.91014065912395,1,2595
"lndp[4,10,2]",0.554764796104936,0.0938841315678142,0.370932821109462,0.556183535761657,0.733915592581464,1,1808
"lndp[4,11,1]",4.22073275964654,0.0477190088600171,4.12211735706717,4.22299334132613,4.30849510473757,1,4442
"lndp[4,11,2]",1.01877234288191,0.0912290492363903,0.837695267211826,1.01969211064153,1.19845117416525,1,3878
"lndp[5,1,1]",5.06900281011487,0.0451800074576565,4.98386294025847,5.06739628180584,5.16310940721186,1,3939
"lndp[5,1,2]",1.1587113175467,0.170136089992603,0.84813730420001,1.14648721025798,1.54306058812414,1,3352
"lndp[5,2,1]",5.20468774781009,0.0375347630168251,5.12406644710059,5.20700386789179,5.27212584504981,1,4856
"lndp[5,2,2]",1.09923826972423,0.128442514313947,0.833291491178982,1.10185516105049,1.35146427679119,1,4829
"lndp[5,3,1]",5.53105936464586,0.079352735195484,5.40843431045961,5.52126783331831,5.7158004785087,1,4187
"lndp[5,3,2]",1.02757904930856,0.224321355935864,0.497005177698079,1.04699823886824,1.42834984374324,1,3400
"lndp[5,4,1]",5.53255111457012,0.0906111896710033,5.39268160193812,5.52025194131192,5.76092637291333,1,2490
"lndp[5,4,2]",1.04738138905893,0.220967232517296,0.564472863727674,1.05865334893246,1.47576921757789,1,3582
